gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
TMED5	0.00102143460132366	6.43257280554311e-08	8.66693152134252e-05	5.30195200698023e-09	0	0	0.000301157985702898	4.63542712965108e-08
TMED6	0	7.71743890547371e-08	0	0	0	0	0	2.76956831569534e-08
TMED7	4.34345170020728e-05	7.55341279093201e-08	0	0	0	0	0.00045355215270241	2.77664821718342e-08
TMED7-TICAM2	0.00116321648330021	1.01846137502397e-07	0	0	0	0	0.000237635680042609	5.41022005353672e-08
TMED8	0.00147382776028621	9.01162129139828e-08	3.14467064645453e-05	7.38737866143185e-09	0	0	0	2.76956831569534e-08
TMED9	0	2.5724796351579e-08	6.51059901698223e-05	6.1162694364415e-09	6.51059901698223e-05	6.1162694364415e-09	0	0
TMEFF1	0.000590811471060484	1.32037373099469e-07	0	0	9.35716756574033e-06	1.67965001486634e-08	0	0
TMEFF2	0.000279826599773737	2.63830455744149e-07	0.000114111798514998	2.14154782733125e-08	0.000114111798514998	2.14154782733125e-08	0.000477746590838019	5.25111264346534e-08
TMEM100	0.00134502379182128	6.92555697619998e-08	0.000346747799559747	4.05527996976613e-09	0	0	0.000570454528948596	4.12033734037352e-08
TMEM101	0	1.02899185406316e-07	0	0	0	0	0	0
TMEM102	0.000267613501790111	1.69967417900031e-07	0	0	0	0	0.00060916320407159	6.41776902207019e-08
TMEM104	0.00354291565072275	2.26352478588991e-07	0	0	0.000334798105154465	1.30814803589571e-08	0	2.76956831569534e-08
TMEM105	0.00110719344535771	4.39372667454009e-08	0	0	0	8.57493211719301e-09	0	0
TMEM106A	0.00133508138004905	8.67808992449335e-08	0.000119860137732425	4.04853375071759e-09	0.000119860137732425	4.04853375071759e-09	6.22418087155452e-05	2.01039384207738e-08
TMEM106B	0.00272997367123437	5.1254049538565e-08	0	0	0.000514733302633588	6.28640737348191e-09	0	0
TMEM106C	0	4.28746605859651e-08	0	0	0	0	0	2.76956831569534e-08
TMEM107	0	3.42997284687721e-08	0	0	0.000125640339178057	3.83025021728953e-09	0	0
TMEM108	0.000493524819383096	4.18684066182362e-07	0	1.7149864234386e-08	0	0	6.19957159892314e-05	1.0322100426163e-07
TMEM109	0.00180456630126108	6.90512701900846e-08	0.000641875020993265	1.00599595057891e-08	0	0	0	2.76956831569534e-08
TMEM11	0.00019138611853727	8.7096747708852e-08	0	0	0	0	0	0
STIMATE	0	9.43242532891232e-08	0	0	0	8.57493211719301e-09	0	2.76956831569534e-08
STIMATE-MUSTN1	0	1.02899185406316e-07	0	0	0	8.57493211719301e-09	0	2.76956831569534e-08
TMEM115	0	9.43242532891232e-08	8.00925447997585e-05	5.55031717174886e-09	0	0	8.44460666545793e-05	4.50913285218518e-08
TMEM116	0.000240926385292891	1.02375773257753e-07	2.7134337951405e-05	7.5502309504647e-09	2.7134337951405e-05	7.5502309504647e-09	9.93472348684201e-05	4.32738063822342e-08
TMEM117	0.0011368922570581	2.65763955836357e-07	0.000268658183821689	1.55791884172259e-08	0.000179105455881126	1.0386125611484e-08	0	2.76956831569534e-08
TMEM119	0	1.7149864234386e-07	1.61079170041833e-05	7.96663272262847e-09	0	0	0.000621545397733171	3.49717287557663e-08
TMEM120B	0	8.57493211719301e-08	5.98002965634288e-05	6.31663365533312e-09	0.000119600593126858	1.26332673106662e-08	0	0
TMEM121	0	1.62923710226667e-07	0	0	0	0	0	2.76956831569534e-08
TMEM123	0	6.85994569375441e-08	0.00026516324714608	7.13623909229973e-09	0	0	5.38220032842938e-06	2.70392065561663e-08
TMEM125	0	9.43242532891232e-08	0.000121888790454991	3.97192370718444e-09	0	0	0	0
TMEM126A	0.000293900869121606	4.03507199747826e-08	0	0	0	0	0	0
TMEM126B	0.000788354384339166	7.31277696129969e-08	3.96943923947801e-05	1.56508451585439e-08	0	0	0	2.76956831569534e-08
TMEM127	0.00125064656015892	8.99694958714243e-08	0.000175015920098361	1.96563072786123e-09	0.000175015920098361	1.96563072786123e-09	0.000175471125421457	3.39888392945217e-08
TMEM128	0	4.28746605859651e-08	0	0	0	0	0	0
TMEM129	0	1.20049049640702e-07	0	0	2.79228942291846e-05	7.52045191036729e-09	0	2.76956831569534e-08
TMEM130	0	3.08697556218949e-07	0	1.7149864234386e-08	0	0	1.05333094551235e-05	5.41065997195434e-08
TMEM131	0.00233083051048855	6.15122947778075e-07	0	3.42997284687721e-08	4.83211292361106e-05	3.24749292938466e-08	0	2.21565465255627e-07
TMEM132A	0	6.00245248203511e-07	0.000180695863272573	2.74759296994788e-08	9.03479316362865e-05	1.37379648497394e-08	0.00163862765213201	2.15568901736287e-07
TMEM132B	0	1.03756678618035e-06	2.61197793735417e-05	6.76130695620095e-08	8.43953609113743e-05	2.25376898540032e-08	0	1.10782732627814e-07
TMEM132C	0	1.97223438695439e-06	0.00122611195671359	9.08960206615507e-08	0	2.5724796351579e-08	0.00142872885137729	1.5808358442335e-07
TMEM132D	0.00468544375185705	1.42657120317781e-06	8.70494968530102e-05	9.10369159990761e-08	0	0	0.00311178781197739	2.57450387367101e-07
TMEM132E	0.0037542739561274	5.95667756479499e-07	0	2.5724796351579e-08	0	0	0	1.93869782098674e-07
TMEM133	0.000529612248631344	4.00242473100593e-08	0	0	0	0	9.09999465746093e-05	1.65962569086306e-08
TMEM134	0.000900318564703314	8.60494184232074e-08	0	0	0	0	0.000249111585896003	2.50067806154037e-08
TMEM135	0	1.80073574461053e-07	0	8.57493211719301e-09	0	8.57493211719301e-09	0	2.76956831569534e-08
TLCD5	0.00138489875216871	8.48995959521912e-08	0	0	0	0	0	0
TMEM138	0.000203879991464227	5.23252006098212e-08	0	8.57493211719301e-09	0	0	3.49293673311339e-05	2.34352857480974e-08
TMEM139	0.000863709046028726	1.04581804559045e-07	0	0	0	0	0	5.53913663139068e-08
TMEM140	0.000642912237538214	6.14703827622608e-08	0.000160721423180552	2.50544812439053e-09	0	0	0.000273063998430411	2.20852620167407e-08
TMEM141	0	8.57493211719301e-09	0	0	0	0	0	0
TMEM143	0	1.80073574461053e-07	0	8.57493211719301e-09	0	8.57493211719301e-09	0	1.10782732627814e-07
TMEM144	0.00139201821219542	8.46307366563092e-08	0	0	0	2.5724796351579e-08	0	0
TMEM145	0.00246716797907938	1.64077829377822e-07	0.000310942447477959	5.40743332316776e-09	0.000777356118694898	1.35185833079194e-08	0.000267012607216029	7.82147273407244e-08
TMEM147	0	7.71743890547371e-08	0	0	0	8.57493211719301e-09	0	0
TMEM14A	0.000565656757858689	3.00881303087701e-08	0	0	0	0	0	2.76956831569534e-08
TMEM14B	0	4.28746605859651e-08	0	0	0.000169434231495292	1.07513497392885e-08	0	0
TMEM14C	0.000697918945747361	2.5093380907245e-08	0	0	0	0	0	0
TMEM14EP	0.00128711569106147	2.85677507535911e-08	0	0	0	0	9.72630060705161e-05	1.58323403396612e-08
TMEM150A	0.00117978868957254	6.69205762186531e-08	0	0	0	0	0	2.76956831569534e-08
TMEM150B	0	1.45773845992281e-07	0	0	0	8.57493211719301e-09	0.000826021313304337	3.77271187601335e-08
TMEM150C	0	6.85994569375441e-08	0	0	0	0	0	0
TMEM151A	0	4.80196198562809e-07	5.48366680887501e-05	2.36539443606195e-08	0	0	0	2.76956831569534e-08
TMEM151B	0	4.11596741625265e-07	1.27320169005136e-05	1.66690523348613e-08	0	0	0.000656717433795793	1.96855831549408e-07
TMEM154	0	6.85994569375441e-08	9.01598330975962e-05	1.37450682031509e-08	0	0	5.69562020740881e-05	2.07486333167911e-08
SMIM43	0.000944225252326093	4.15166656400119e-08	0.000117732076273974	4.12889786585647e-09	0	0	0.000118231428547302	1.32747843455602e-08
TMEM156	0	1.11474117523509e-07	0	8.57493211719301e-09	0	0	7.43856821428098e-05	1.86227284580364e-08
TMEM158	0.000200233169047463	6.96127834497617e-08	0	0	0	0	0.000175265481937133	6.17096051550769e-08
LDAF1	0.000387654534808689	5.39600706802717e-08	0	0	0	8.57493211719301e-09	0	0
TMEM160	0	1.11474117523509e-07	0.00030020076876018	5.81308208948155e-09	0	0	2.78802571277976e-05	2.42950783278006e-08
TMEM161A	0	1.54348778109474e-07	0	0	0	8.57493211719301e-09	0	2.76956831569534e-08
TMEM161B	0.00195971609507994	1.83241242855017e-07	2.11786250613156e-05	1.63500746154575e-08	2.11786250613156e-05	1.63500746154575e-08	0	5.53913663139068e-08
TMEM163	0.00154459685654161	1.6461807774384e-07	0	8.57493211719301e-09	0	0	0	2.76956831569534e-08
TMEM164	0.00151256303036465	4.57787535483313e-08	0	0	0	0	0	5.53913663139068e-08
TMEM165	0.00183924949608392	9.34662903361607e-08	0.000269875574333308	6.95828276348103e-09	0	0	0.000663037234971334	5.76065783115172e-08
TMEM167A	0.000193401837109423	1.84211691730445e-08	0	0	0.000118892832499075	4.0850630665598e-09	0	0
TMEM167B	0	4.28746605859651e-08	0	0	0.000153601508060229	2.77432460642841e-09	0	0
TMEM168	0.0045159107033125	1.72458428172684e-07	0.00083014773088264	1.15249608101408e-08	0	0	0.000485464489340033	1.06961126863857e-07
TMEM169	0	1.37198913875088e-07	0	8.57493211719301e-09	0	0	0	0
TMEM17	0	8.57493211719301e-08	0	0	0.000290039808240014	6.19680061317436e-09	0	0
TMEM170A	0.000309519520166399	7.40606256891914e-08	0	0	0	0	0	0
TMEM170B	0.000179574197308949	4.46681525284863e-08	0.000134233169205709	3.50575057515336e-09	0	0	8.52449773136105e-05	1.72982008028663e-08
TMEM171	0.00107641325036612	1.39423903350325e-07	0	0	0	0	0.000345328290884589	4.09667401694663e-08
STING1	0	1.02899185406316e-07	0.000122199208724069	3.96020107134686e-09	0.000122199208724069	3.96020107134686e-09	0.000303637971966599	4.60517829361662e-08
TMEM174	0	2.05798370812632e-07	0.000127227121780408	1.23452590746306e-08	0	0	0	0
TMEM175	0	1.88648506578246e-07	0	8.57493211719301e-09	0	0	0.000119133796579851	6.85560872165405e-08
TMEM176A	0	1.11474117523509e-07	0	8.57493211719301e-09	0	1.7149864234386e-08	0	0
TMEM176B	0.000401992556976871	1.56317795002458e-07	0	8.57493211719301e-09	0	0	0	2.76956831569534e-08
TMEM177	0.00267794646257613	1.30393194155394e-07	9.93904100753738e-05	4.82155256733128e-09	0	0	0	0
TMEM178A	0.00154087415068945	1.7333359412872e-07	5.42961454687597e-05	1.50994245402122e-08	0	0	0	0
TMEM178B	0.000441158014255473	2.40588071804826e-07	0.000613816717033541	1.11195533258203e-08	0.000153454179258385	2.77988833145508e-09	0	1.38478415784767e-07
TMEM179	0	8.57493211719301e-08	7.43610779826935e-05	5.76676029061283e-09	0	0	0	0
TMEM179B	0.0013618125868988	6.86215576871628e-08	0	0	0	8.57493211719301e-09	0	0
TMEM18	0	5.14495927031581e-08	0	0	0	8.57493211719301e-09	0	0
MFSD13A	0	1.7149864234386e-07	2.55789859287755e-05	7.60896726587126e-09	2.55789859287755e-05	7.60896726587126e-09	0	2.76956831569534e-08
TMEM181	0.000298319407760953	1.85957704269274e-07	0.000159757652726931	1.11167760700004e-08	7.98788263634655e-05	5.55838803500018e-09	0	0
TMEM182	0.000304216489586683	9.14107535759268e-08	0	8.57493211719301e-09	0	0	0	0
TMEM183A	0.00180179597200273	1.2918041372744e-07	0	0	0	0	0	2.76956831569534e-08
TMEM184A	0.000279311881557438	1.35225911805512e-07	0.000694237434185045	8.08254527934218e-09	0	0	0.000834730740769912	9.20561806281798e-08
TMEM184B	0	2.05798370812632e-07	0	8.57493211719301e-09	0	0	0	0
TMEM184C	0	6.00245248203511e-08	0	0	9.54252613614432e-05	2.21211566818903e-08	0	0
TMEM185A	0	6.85994569375441e-08	0	8.57493211719301e-09	0	0	0	0
TMEM185B	0	5.14495927031581e-08	0	0	0	0	0	2.76956831569534e-08
TMEM186	0.00162145419125736	5.02415197518766e-08	0	0	0	0	0	2.76956831569534e-08
TMEM187	0.00117411069678408	6.71349999442452e-08	0	0	0	0	0	0
PEDS1	0	1.28623981757895e-07	2.227953228441e-05	7.73356783674210e-09	0	0	0	0
PEDS1-UBE2V1	0	1.28623981757895e-07	2.28798989376129e-05	7.71089558982369e-09	0	0	0	0
TMEM19	0.000374383553340293	1.05910828741459e-07	0	8.57493211719301e-09	0	0	0.00014148163956642	3.81345976786444e-08
TMEM190	0	7.71743890547371e-08	0	8.57493211719301e-09	0	0	0	0
TMEM192	0.000429514882898222	9.52539170372765e-08	0.000131379113698786	1.21884632474898e-08	0	0	0.000253992567308107	5.2107121739286e-08
NEMP1	0	1.54348778109474e-07	0	8.57493211719301e-09	0	0	0.000192359035176845	5.9624673892503e-08
