gene	missenseVusDriversPerSample	missensePassengersPerMutation
AL360181.1	5.7186476543564244E-5	9.878280493885035E-9
AL365202.1	0.0	2.4742871767308235E-8
AL513478.1	0.0	3.7114307650962355E-8
AL590560.1	0.0	1.2371435883654117E-8
AL590822.1	0.0	6.185717941827058E-8
AL590867.1	0.00504880038013259	1.6340226487603927E-7
AL603965.1	0.0	0.0
AL645728.1	1.1139829063622259E-4	4.462911893563133E-8
AL669831.1	4.155827558920438E-4	6.624735271207888E-9
ALAS1	0.0	1.9794297413846588E-7
ALAS2	0.0	2.1031441002212E-7
ALDH16A1	1.0852283615313302E-4	3.0455463350909505E-7
ALDH18A1	0.0	2.4742871767308233E-7
ALDH1A1	0.003835183642620049	1.7919793337893875E-7
ALDH1A2	0.0034931845020475176	2.0647948529265202E-7
ALDH1A3	0.0015266454043880676	1.6850021361061148E-7
ALDH1L1	0.004754850047294316	5.968464199598821E-7
ALDH1L2	0.0	3.0928589709135296E-7
ALDH2	0.0	2.598001535567365E-7
ALDH3A1	2.6004658745354403E-4	1.742343027703531E-7
ALDH3A2	0.0	1.360857947201953E-7
ALDH3B2	0.0	8.660005118557883E-8
ALDH8A1	0.001363915397887943	2.498233592509087E-7
ALDOB	0.0	1.6082866648750354E-7
ALDOC	0.0022390578043817327	1.6218408468167169E-7
ALG10	0.0	1.9794297413846588E-7
ALG10B	2.356904313847916E-4	1.3818184899546593E-7
ALG11	0.0	1.2371435883654117E-7
ALG5	4.618109479263628E-4	1.1595225050717007E-7
ALG6	0.0	1.7320010237115765E-7
ALG8	0.0	1.6082866648750354E-7
ALG9	3.937260617303681E-4	1.436634149765483E-7
ALKBH1	0.0	1.360857947201953E-7
ALKBH2	0.0	7.422861530192471E-8
ALKBH4	0.0	7.422861530192471E-8
ALKBH5	0.0	1.2371435883654117E-7
ALOX12	0.0	8.660005118557883E-8
ALOX12B	0.0	1.9794297413846588E-7
ALOX15B	0.0	1.4845723060384942E-7
ALOX5	7.275322113316976E-4	3.6416777007215177E-7
ALOX5AP	0.0017359408666967572	6.040408481753299E-8
ALOXE3	0.0013412576941393272	2.384397299193442E-7
ALPI	3.755161098752746E-4	3.671431590617351E-7
ALPK1	0.0033041438442804644	4.621497971901728E-7
ALPK3	0.0	1.1134292295288707E-6
ALPL	0.0	2.4742871767308233E-7
ALPP	0.0	2.4742871767308233E-7
ALPPL2	7.467152651169772E-5	1.9468752407339492E-7
ALS2	0.004330208742891359	5.16387994383156E-7
ALS2CL	0.0037617085798185733	2.937441442402454E-7
ALX1	0.0034623268597359647	1.8308191230740826E-7
ALX3	0.004207613078222416	7.636109841505953E-8
ALX4	0.0	2.3505728178942825E-7
ALYREF	3.8837825846884007E-4	6.966794753283701E-8
AMBN	0.004551259133746139	2.0983641253644864E-7
AMBRA1	4.1959102585366825E-4	4.0233593524290243E-7
AMELX	0.0	4.948574353461647E-8
AMER2	0.0	4.577431276952024E-7
AMER3	0.004568986703115441	9.389782618929452E-7
AMH	0.0	1.4845723060384942E-7
AMHR2	0.0	2.8454302532404473E-7
AMMECR1	0.0	1.1134292295288707E-7
AMMECR1L	0.002291927857938588	8.565049682417714E-8
AMN	0.0	9.897148706923294E-8
AMN1	0.0	1.2371435883654117E-8
AMOT	3.513181065941921E-4	5.290267844477104E-7
AMOTL1	0.0	4.577431276952024E-7
AMPD1	0.0031678403328136272	5.794351361616289E-7
AMPD2	0.0035217648736074443	2.2997634031434116E-7
AMPH	0.002047352960648007	8.757136746302766E-7
AMT	0.0023879527545286132	9.383554104750466E-8
AMTN	0.002002379288812072	1.2301680020241473E-7
AMY1A	0.0	4.948574353461647E-8
AMY1C	0.0	7.422861530192471E-8
AMY2A	0.006725827064490587	2.0163195600201725E-7
AMY2B	0.0	2.3505728178942825E-7
AMZ2	0.0	4.948574353461647E-8
ANAPC1	0.0	5.19600307113473E-7
ANAPC10	4.2455809423916504E-4	8.046205328524882E-8
ANAPC2	0.0010313486627709233	2.2720794361479656E-7
ANAPC4	0.0022536192894272392	1.739206843746997E-7
ANAPC5	8.958138796460356E-4	1.0940248659338261E-7
ANAPC7	0.002452484255573702	1.6525078036677217E-7
ANG	0.0	4.948574353461647E-8
ANGPT1	0.006865024210238452	4.0587779640528004E-7
ANGPT2	0.0	1.1134292295288707E-7
ANGPT4	0.0014094700728333489	2.1072300716717217E-7
ANGPTL1	7.004475589150319E-4	1.426627321341704E-7
ANGPTL2	0.0	1.4845723060384942E-7
ANGPTL3	0.0021549041176216334	1.2873862026771222E-7
ANGPTL4	5.865798420175197E-4	1.7236988792914497E-7
ANGPTL5	0.0014786851813564873	1.9533400434640385E-7
ANGPTL6	0.0	8.660005118557883E-8
ANK1	0.0	1.249515024249066E-6
ANK2	0.0	2.635115843218327E-6
ANKDD1B	1.4601679712122705E-4	2.0394852447114923E-7
ANKEF1	0.004940193587979837	2.9185154751952094E-7
ANKFN1	0.0	5.567146147644353E-7
ANKFY1	0.0014078501776896891	2.850222449405687E-7
ANKHD1	0.0	9.154862553904048E-7
ANKHD1-EIF4EBP3	0.0	9.154862553904048E-7
ANKIB1	0.004052610656563737	3.800331909080362E-7
ANKK1	4.329053428803404E-4	5.378412664818261E-7
ANKRD10	0.0	7.422861530192471E-8
ANKRD11	0.0	8.783719477394424E-7
ANKRD12	0.007202653377227003	5.76729736106411E-7
ANKRD13A	0.0	2.4742871767308233E-7
ANKRD13B	0.0	2.4742871767308233E-7
ANKRD13D	0.0	1.9794297413846588E-7
ANKRD16	0.0	1.1134292295288707E-7
ANKRD17	0.0027227095241629776	8.710130667829492E-7
ANKRD18A	0.0023259520027612028	4.553102247315806E-7
ANKRD18B	0.003885155942243976	3.131050887480693E-7
ANKRD20A1	0.0	7.422861530192471E-8
ANKRD20A2	0.0	3.7114307650962355E-8
ANKRD22	1.189846432700026E-4	8.141268482559029E-8
ANKRD28	0.0	2.9691446120769884E-7
ANKRD29	9.685035964555535E-4	1.0623343736709604E-7
ANKRD30B	0.0	1.3237436395509906E-6
ANKRD35	0.007636472074860868	4.3410220951482315E-7
ANKRD37	1.762376215518435E-4	2.9430886628907604E-8
ANKRD40	0.0031872290342963203	5.89895409918901E-8
ANKRD42	3.782137282553423E-4	1.195968334818484E-7
ANKRD44	0.0	1.7320010237115765E-7
ANKRD49	3.482907518043539E-4	5.90442042741487E-8
ANKRD52	0.0	3.7114307650962353E-7
ANKRD55	7.279167343374656E-4	3.1466526251110346E-7
ANKRD6	0.0	1.4845723060384942E-7
ANKRD63	2.562367649687625E-4	1.1254321995456789E-7
ANKRD65	0.0	8.660005118557883E-8
ANKRD9	0.0	8.660005118557883E-8
ANKS1A	0.0	3.587716406259694E-7
ANKS1B	0.009735239198884067	9.735456150878437E-7
ANKS3	9.863487160583955E-4	1.9205549594309334E-7
ANKZF1	0.0	2.3505728178942825E-7
ANO10	0.0	1.9794297413846588E-7
ANO2	0.003875889459816107	7.959950784894991E-7
ANO3	0.0015278147847210943	7.74649590505384E-7
ANO5	0.005810669033355943	5.631873788003354E-7
ANO7	4.4673051471227356E-4	4.135241724576919E-7
ANO9	0.0	2.598001535567365E-7
ANTXR1	0.002659143019234989	2.675840135886849E-7
ANTXR2	0.0027570206713588862	1.2723105273621813E-7
ANTXRL	4.524434921568634E-4	2.400750017513526E-7
ANXA1	0.0	7.422861530192471E-8
ANXA10	0.0010641027594835426	1.5155134992196897E-7
ANXA3	0.0	8.660005118557883E-8
ANXA6	0.0	2.2268584590577413E-7
ANXA7	7.393242009011839E-4	1.7808213715496178E-7
ANXA8L2	0.0	1.2371435883654117E-8
AOC2	0.0011670297636433469	3.0789271397918E-7
AOX1	0.0	7.917718965538635E-7
AP000275.65	8.905225643165294E-4	6.014742821599343E-8
AP000695.1	0.0	7.422861530192471E-8
AP000721.4	7.917035407577722E-4	5.208419937862497E-8
AP000769.1	1.5019074073654325E-4	4.2937886814059973E-8
AP000783.1	0.0	8.660005118557883E-8
AP000867.1	0.0	2.4742871767308235E-8
AP001024.1	8.245348841946234E-4	2.5909981499608145E-8
