gene	missenseDriverLikelihood	missenseExpDriversPerSample	missenseExpPassengersPerLoad	nonsenseDriverLikelihood	nonsenseExpDriversPerSample	nonsenseExpPassengersPerLoad	spliceDriverLikelihood	spliceExpDriversPerSample	spliceExpPassengersPerLoad	indelDriverLikelihood	indelExpDriversPerSample	indelExpPassengersPerLoad
LEFTY2	0.0	0.0	1.5568597715830946E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0	0.0	0.0	7.524901214978075E-8
LEKR1	0.0	0.0	1.1120426939879246E-8	0.7012405750427737	3.9797989502995105E-4	6.644664715674343E-9	0.0	0.0	0.0	0.9202343981759405	0.005222669683177869	1.200456548158645E-7
LELP1	0.635727862578615	0.0016235955627717181	3.6457755213853485E-8	0.7731693126723039	2.194010535392463E-4	2.5224540861502373E-9	0.0	0.0	0.0	0.0	0.0	0.0
LEMD1	0.0	0.0	7.784298857915473E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.40265659403896875	1.142612355388674E-4	4.494950121275305E-8
LEMD2	0.0	0.0	1.3344512327855095E-7	0.0	0.0	0.0	0.31993045961714084	1.815723380346997E-4	1.512532727572969E-8	0.0	0.0	7.524901214978075E-8
LEMD3	0.25783676425218793	0.0032193012562702237	3.6313956978630855E-7	0.0	0.0	0.0	0.0	0.0	1.1120426939879246E-8	0.008184315480470791	9.289801907458333E-6	2.9853260197901267E-7
LENEP	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.8151561346361471	4.626311774325466E-4	2.7818636541154006E-8
LENG1	0.25106596173390366	9.974243655716945E-4	1.1659852757457592E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LENG8	0.06905287792377766	6.858259725687339E-4	3.623385309578817E-7	0.4864002495210765	5.521001697174534E-4	2.2845794006164317E-8	0.4864002495210765	1.3802504242936336E-4	5.711448501541079E-9	0.0	0.0	1.504980242995615E-7
LENG9	0.0	0.0	1.5568597715830946E-7	0.27920483416967756	7.922952161455096E-5	8.015549980234247E-9	0.0	0.0	0.0	0.6092953396738775	6.91595164215525E-4	1.1760055892742541E-7
LEO1	0.0	0.0	2.1128811185770568E-7	0.0	0.0	2.2240853879758492E-8	0.0	0.0	0.0	0.0	0.0	1.504980242995615E-7
LEP	0.5836644423021516	0.0023187577162968563	6.481760812593925E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LEPR	0.040255650814184606	7.082435727807733E-4	6.617115487971347E-7	0.0	0.0	4.4481707759516984E-8	0.0	0.0	2.2240853879758492E-8	0.0	0.0	3.7624506074890373E-7
LEPRE1	0.3453317838028839	0.003233810688278992	2.4024627224667635E-7	0.045239126618839866	3.8512309834426676E-5	3.1852045612471476E-8	0.0	0.0	0.0	0.0	0.0	7.524901214978075E-8
LEPREL1	0.0	0.0	5.115396392344454E-7	0.3553157460409014	5.041369835994628E-4	3.584582072721357E-8	0.3553157460409014	3.024821901596777E-4	2.150749243632814E-8	0.0	0.0	1.504980242995615E-7
LEPREL4	0.3447509099580676	0.0014674414442028985	1.0929974449850502E-7	0.3149104135721438	8.936163835758904E-5	7.618488693143064E-9	0.0	0.0	0.0	0.0	0.0	7.524901214978075E-8
LEPROT	0.39118547971802387	6.660365715970895E-4	4.062166435640008E-8	0.8129025447594066	2.3067609102139802E-4	2.0806035816403466E-9	0.8129025447594066	2.3067609102139802E-4	2.0806035816403466E-9	0.0	0.0	0.0
LEPROTL1	0.0	0.0	2.2240853879758492E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.4739190885084472	1.3448328277765244E-4	3.958706890059559E-8
LETM1	0.0	0.0	2.1128811185770568E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	1.1120426939879246E-8	0.0	0.0	2.2574703644934226E-7
LETM2	0.0	0.0	1.223246963386717E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	1.1120426939879246E-8	0.0	0.0	7.524901214978075E-8
LETMD1	0.1626827963234087	5.539709295916301E-4	1.1173589746787428E-7	0.6092651816776595	3.4578046633238337E-4	8.690276000041156E-9	0.0	0.0	1.1120426939879246E-8	0.0	0.0	7.524901214978075E-8
LEUTX	0.3610630553381246	0.0011270413191598668	7.815776773532261E-8	0.749541610704911	4.2539251458848524E-4	5.570408439271744E-9	0.0	0.0	0.0	0.0	0.0	0.0
LFNG	0.0	0.0	1.0008384245891322E-7	0.0	0.0	0.0	0.4062176220000833	1.1527174290581253E-4	6.6031135527358364E-9	0.0	0.0	1.504980242995615E-7
LGALS1	0.0	0.0	4.4481707759516984E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS12	0.0	0.0	1.668064040981887E-7	0.3734070501056116	1.0596113794143349E-4	6.967981120343963E-9	0.3734070501056116	1.0596113794143349E-4	6.967981120343963E-9	0.0	0.0	7.524901214978075E-8
LGALS13	0.2840664623094368	5.642636879018325E-4	5.573040619788036E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS14	0.6623094953666345	0.0033829656403517087	6.759472653119332E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS16	0.0	0.0	6.672256163927548E-8	0.0	0.0	0.0	0.2136764979617437	6.063464754873545E-5	8.74425305552642E-9	0.0	0.0	0.0
LGALS2	0.4586103179138659	5.205565470077934E-4	2.4081937622573226E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.7903155729024602	4.485332422828946E-4	3.155709200456517E-8
LGALS3	0.0	0.0	7.784298857915473E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.524901214978075E-8
LGALS3BP	0.11150407220324295	3.7969604609503844E-4	1.1856544861732876E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0	0.7018567126030991	7.966591516493747E-4	8.973995142281987E-8
LGALS4	0.0	0.0	1.7792683103806794E-7	0.0	0.0	0.0	0.18214780104447587	1.0337559650651297E-4	1.8189731252208983E-8	0.0	0.0	0.0
LGALS7B	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.524901214978075E-8
LGALS8	0.11940751887331881	3.727249454047977E-4	1.0771820785193877E-7	0.0	0.0	0.0	0.0	0.0	1.1120426939879246E-8	0.6224857513582804	3.532836273316007E-4	5.6815148565512214E-8
LGALS9	0.0	0.0	1.223246963386717E-7	0.5344494415210641	4.5497966077275606E-4	1.5531362917154962E-8	0.5344494415210641	1.51659886924252E-4	5.1771209723849875E-9	0.0	0.0	7.524901214978075E-8
LGALS9B	0.06725075850975071	1.908364316394742E-4	1.0372569793220101E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.524901214978075E-8
LGALS9C	0.0	0.0	7.784298857915473E-8	0.7249228274522944	4.114204469082261E-4	6.117951200290634E-9	0.7249228274522944	2.0571022345411305E-4	3.058975600145317E-9	0.0	0.0	7.524901214978075E-8
LGALSL	0.0	0.0	6.672256163927548E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LGI1	0.25078057703817397	0.0016367631304988652	1.916277166646659E-7	0.41137419360074706	3.502050456306019E-4	1.9637310824971195E-8	0.41137419360074706	1.1673501521020064E-4	6.5457702749903976E-9	0.0	0.0	7.524901214978075E-8
LGI2	0.0	0.0	4.1145579677553215E-7	0.19186138467516314	1.6333262032505375E-4	2.6960539287045084E-8	0.0	0.0	0.0	0.0	0.0	0.0
LGI3	0.014419975987723824	6.956288075803207E-5	1.8632120105736018E-7	0.6084353718045926	3.4530951861781647E-4	8.708731680176019E-9	0.6084353718045926	3.4530951861781647E-4	8.708731680176019E-9	0.0	0.0	7.524901214978075E-8
LGI4	0.1935353989949371	0.0017024964156762343	2.780151509273458E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.3763915618037821	4.2723219273982073E-4	1.87703675770132E-7
LGMN	0.0	0.0	1.3344512327855095E-7	0.0	0.0	0.0	0.0	0.0	1.1120426939879246E-8	0.0	0.0	7.524901214978075E-8
LGR4	0.3228867980924293	0.003023627791444429	2.4848300043074785E-7	0.5757770473761519	6.535494294848488E-4	1.8870161403493433E-8	0.5757770473761519	3.267747147424244E-4	9.435080701746717E-9	0.2981242784519932	3.383930515913657E-4	2.1126181879360839E-7
LGR5	0.0	0.0	4.781783584148076E-7	0.20178494917942563	2.2904080497097122E-4	3.550596861984879E-8	0.2017849491794256	1.717806037282284E-4	2.662947646488659E-8	0.2567206787522532	2.185476833872757E-4	1.6779310402575748E-7
LGR6	0.0	0.0	5.226600661743245E-7	0.0	0.0	2.2240853879758492E-8	0.0	0.0	0.0	0.0	0.0	2.2574703644934226E-7
LGSN	0.04091878736967477	4.0640112313808656E-4	3.732887394063214E-7	0.0	0.0	1.1120426939879246E-8	0.047062108716822294	2.670948281317951E-5	2.119415239651434E-8	0.0	0.0	2.2574703644934226E-7
LHB	0.2002390198467962	2.8410757640010817E-4	4.4468417745799595E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LHCGR	0.04460765863384637	7.594947554003355E-4	6.37462243864949E-7	0.20575686455090797	5.838730549117706E-5	8.832322760262245E-9	0.20575686455090797	4.087111384382394E-4	6.182625932183571E-8	0.0	0.0	3.7624506074890373E-7
LHFP	0.10152069323449349	2.592753232435986E-4	8.99232613909125E-8	0.33292577495859754	9.447382944341588E-5	7.418150183049483E-9	0.0	0.0	0.0	0.0	0.0	7.524901214978075E-8
LHFPL1	0.278066605076977	7.101587530342772E-4	7.225386816330421E-8	0.0	0.0	0.0	0.6760437398845365	3.8367976156897644E-4	7.205063844661058E-9	0.0	0.0	7.524901214978075E-8
LHFPL2	0.0	0.0	2.2240853879758492E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.2881992381613617	8.178184964851354E-5	5.3562304175818885E-8
LHFPL3	0.25630977499606805	0.001454652525516845	1.6540305626117166E-7	0.0	0.0	0.0	0.0	0.0	1.1120426939879246E-8	0.28836034069579786	8.182756546418782E-5	5.355018136924774E-8
LHFPL4	0.008385812549069262	2.3796289866825374E-5	1.1027173124095799E-7	0.0	0.0	0.0	0.33347125993197285	9.462862086605359E-5	7.41208415725626E-9	0.0	0.0	0.0
LHFPL5	0.09878531905687567	3.3638587647063226E-4	1.202627041988952E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0	0.0	0.0	0.0
