Chr37	Start37	End37	Orient37	Chr38 	Start38	End38	Orient38
1	31953887	31967639	+	1	31481040	31494792	+
1	31967644	31967751	+	1	31494792	31494899	+
1	31967751	31967768	+	1	31494902	31494919	+
1	31967772	31967854	+	1	31494919	31495001	+
1	31967855	31967875	+	1	31495001	31495021	+
1	31967876	31967891	+	1	31495021	31495036	+
1	31967891	31967910	+	1	31495040	31495059	+
1	31967910	31967922	+	1	31495064	31495076	+
1	31967922	31971155	+	1	31495080	31498313	+
1	31971155	31971541	+	1	31498314	31498700	+
1	31971541	31971704	+	1	31505941	31506104	+
1	31971705	33946800	+	1	31506104	33481199	+
1	33946800	34189960	+	1	33481200	33724360	+
1	34189961	38077349	+	1	33724360	37611748	+
1	38077420	41891657	+	1	37611748	41425985	+
1	41891657	44276555	+	1	41425986	43810884	+
1	44276556	53898363	+	1	43810884	53432691	+
1	53898364	56549912	+	1	53432691	56084239	+
1	56549912	57016384	+	1	56084240	56550712	+
1	57016385	57742369	+	1	56550712	57276696	+
1	57742369	62770402	+	1	57276697	62304730	+
1	62770402	64434149	+	1	62304731	63968478	+
1	64434150	64545521	+	1	63968478	64079849	+
1	64545522	64547456	+	1	64079849	64081783	+
1	64547465	64549290	+	1	64081783	64083608	+
1	64549291	74439689	+	1	64083608	73974006	+
1	74439690	75570662	+	1	73974006	75104978	+
1	75570663	78430690	+	1	75104978	77965005	+
1	78430690	78830683	+	1	77965006	78364999	+
1	78830684	82373115	+	1	78364999	81907430	+
1	82373115	82755348	+	1	81907431	82289664	+
1	82755348	89820216	+	1	82289665	89354533	+
1	89820216	90507140	+	1	89354657	90041581	+
1	90507140	90839354	+	1	90041582	90373796	+
1	90839354	94094669	+	1	90373797	93629112	+
1	94094669	103766423	+	1	93629113	103300867	+
1	103766424	103772605	+	1	103300867	103307048	+
1	103772607	103773021	+	1	103307048	103307462	+
1	103773022	103773222	+	1	103307462	103307662	+
1	103773226	103774287	+	1	103307662	103308723	+
1	103774287	103774773	+	1	103308726	103309212	+
1	103774773	103775424	+	1	103309217	103309868	+
1	103775425	103775744	+	1	103309868	103310187	+
1	103775745	103778947	+	1	103310187	103313389	+
1	103778947	103784173	+	1	103313390	103318616	+
1	103784174	103785265	+	1	103318616	103319707	+
1	103913906	113856372	+	1	103371284	113313750	+
1	113857683	115048623	+	1	113315061	114506001	+
1	115048623	116178351	+	1	114506002	115635730	+
1	116181197	116724056	+	1	115638576	116181435	+
1	116724057	118462520	+	1	116181435	117919898	+
1	118462521	120583694	+	1	117919898	120041071	+
1	120583695	120588111	+	1	120041071	120045487	+
1	120588111	120591087	+	1	120045488	120048464	+
